rank,trend,season,episode,name,start,total_votes,average_rating
77808.00,-,1,424,Yabure! Guren Jigoku: Buggy no Dohade Daisakusen,2009,125,7.7
77809.00,1,1,425,Kangoku Saikyou no Otoko! Doku Ningen Magellan Toujou,2009,125,7.7
91987.00,-,1,426,Eiga Rendou Special: Ugokidasu Kinjishi no Yabou,2009,118,6.9
100117.00,-,1,427,Eiga Rendou Special: Nerawareta Little East Blue,2009,115,6.5
97820.00,-,1,428,Eiga Rendou Special: Amigo Kaizokudan no Moukou,2009,116,6.6
98316.00,-,1,429,Eiga Rendou Special: Kessen! Luffy Tai Largo,2009,115,6.6
78086.00,-,1,430,Toraware no Ouka Shichibukai! Kaikyou no Jinbee,2009,121,7.8
80627.00,-,1,431,Roubanchou Saldeath no Wana: Level 3 Kiga Jigoku,2009,118,7.7
76452.00,-,1,432,Tokihanatareta Swan! Saikai! Bon Clay,2009,122,7.9
70393.00,2,1,433,Shochou Magellan Ugoku: Kansei! Mugiwara Houimou,2010,132,8.1
77810.00,1,1,434,Zensenryoku Shuuketsu! Level 4 Shounetsu Jigoku no Kessen,2010,125,7.7
70839.00,1,1,435,Magellan Tsuyoshi! Bon Clay Tekizen Toubou,2010,134,8
68048.00,1,1,436,Shiyuu Kessu! Sutemi no Luffy Saigo no Ichigeki,2010,139,8.1
74529.00,-,1,437,Dachi Dakara: Bon Clay Kesshi no Kyuushutsukou,2010,127,7.9
78179.00,-,1,438,Jigoku ni Rakuen! Impel Down Level 5.5,2010,124,7.7
83011.00,-,1,439,Luffy Chiryou Kaishi: Ivan-san Kiseki no Chikara!!,2010,122,7.4
79204.00,-,1,440,Kiseki o Shinjite! Bon Clay Tamashii no Seien,2010,128,7.5
75227.00,-,1,441,Luffy Fukkatsu! Iwa-san Datsugoku Keikaku Shidou!!,2010,125,7.9
73323.00,-,1,442,Ace Gosou Kaishi: Saikasou Level 6 no Koubou!,2010,127,8
72606.00,-,1,443,Saikyou Team Kessei: Shinkan! Inpel Down,2010,129,8
74532.00,-,1,444,Saranaru Konran! Kurohige Teach Shuurai!,2010,127,7.9
74887.00,-,1,445,Kiken na Deai! Kurohige to Ame no Shiryuu,2010,126,7.9
71422.00,-,1,446,Iji demo Taorenu! Honki no Hannyabaru,2010,129,8.1
61866.00,2,1,447,Ikari no Jet Pistol: Luffy vs Kurohige,2010,152,8.3
76898.00,-,1,448,Magellan o Tomero! Iva-san Ougi Sakuretsu,2010,124,7.8
76024.00,-,1,449,Magellan no Kisaku! Habamareta Datsugoku Keikaku,2010,123,7.9
71424.00,-,1,450,Datsugoku Team Zettaizetsumei: Kinjite &quot;Venom Demon&quot;,2010,129,8.1
60416.00,1,1,451,Okose Saigo no Kiseki: Seigi no Mon o Toppa Seyo,2010,150,8.5
76022.00,-,1,452,Mezase Kaigun Honbu: Ace Kyuushutsu e no Funade!,2010,123,7.9
86114.00,-,1,453,Nakama-tachi no Yukue: Weatheria Report to Cyborg Animal,2010,118,7.3
92197.00,-,1,454,Nakama-tachi no Yukue: Kyochou no Hina to Momoiro no Taiketsu,2010,121,6.8
86978.00,-,1,455,Nakama-tachi no Yukue: Kakumeigun to Boushoku no Mori no Wana!,2010,116,7.3
86115.00,-,1,456,Nakama-tachi no Yukue: Kyodai na Bohyou to Pantsu no On,2010,118,7.3
85836.00,-,1,457,Marineford Chokuzen Kaisou Special: Kyoudai no Chikai!,2010,122,7.2
86556.00,1,1,458,Marineford Chokuzen Kaisou Special: Shuuketsu! San Taishou,2010,131,6.9
65817.00,2,1,459,Kessen no Toki Semaru! Kaigun Saikyou no Fujin Kansei!,2010,146,8.1
62399.00,2,1,460,Kyodai Kantai Arawaru: Shuurai! Shirohige Kaizokudan,2010,154,8.2
54984.00,3,1,461,Kessen no Makuake! Ace to Shirohige no Kako,2010,174,8.4
62400.00,3,1,462,Sekai o Horobosu Chikara! Guragura no Mi no Nouryoku,2010,154,8.2
56935.00,4,1,463,Subete o Yakitsukusu!! Taishou Akainu no Chikara!,2010,162,8.5
62512.00,4,1,464,Majin no Shison! Little Oars Jr. Bakushin!,2010,150,8.3
60059.00,3,1,465,Shousha dake ga Seigi Hatsudou! Sengoku no Sakusen!,2010,155,8.4
49641.00,5,1,466,Mugiwara Team Touchaku Fuunkyuu o Tsugeru Senjou,2010,186,8.7
52090.00,5,1,467,Shinde mo Tasukeru: Luffy vs Kaigun Battle Start,2010,174,8.7
56980.00,4,1,468,Gekisen no Renzoku! Nouryokusha Gundan VS Nouryokusha Gundan,2010,158,8.6
62211.00,4,1,469,Kuma ni Okita Ihen Iva-san Ikari no Ichigeki,2010,151,8.3
58957.00,4,1,470,Kengou Mihawk Luffy ni Semaru Kokutou no Zangeki,2010,155,8.5
61113.00,4,1,471,Senmetsu Sakusen Shidou: Pacifista Gundan no Iryoku,2010,151,8.4
61615.00,4,1,472,Akainu no Bouryaku! Otoshiirerareta Shirohige,2010,153,8.3
61402.00,4,1,473,Houiheki Sadou! Shirohige Kaizokudan Zettaizetsumei!!,2010,150,8.4
52575.00,5,1,474,Shokei Shikkou Shirei Kudaru: Houiheki o Toppa Seyo!,2010,180,8.5
58217.00,4,1,475,Saishuu Kyokumen Totsunyuu! Shirohige Kishikaisei no Itte,2010,154,8.6
59144.00,5,1,476,Luffy Chikaratsuku! Oris Hiroba no Souryokusen!!,2010,158,8.4
62302.00,4,1,477,Inochi o Kezuru Chikara: Tension Hormone Futatabi,2010,147,8.4
52767.00,4,1,478,Yakusoku no Tame ni!! Gekitou! Luffy to Coby,2010,175,8.6
60058.00,4,1,479,Shokeidai Mokuzen! Hirakareta Ace e no Michi!!,2010,155,8.4
51895.00,5,1,480,Sorezore no Eranda Michi: Luffy vs Garp!,2010,179,8.6
42522.00,10,1,481,Ace Kyuushutsu! Shirohige Saigo no Senchou Meirei!,2010,218,8.9
